,Symbol,Date,Walrasian Price
387,WHX,901101.0,2.5
388,T  ,901219.0,31.25
389,ITG,901224.0,inf
390,GE ,910114.0,53.375
391,SPF,901219.0,5.75
392,DLT,901119.0,0.75
393,ALL,901129.0,8.875
394,PIR,901120.0,4.0
395,PEO,901129.0,31.0
396,WBN,910131.0,12.0
397,SPF,910131.0,7.875
398,ACS,901212.0,inf
399,SLT,910130.0,inf
400,PRI,910102.0,14.75
401,CPC,901211.0,81.0
402,AC ,901115.0,14.125
403,FFB,901205.0,18.875
404,TUG,910115.0,6.625
405,CYR,901106.0,25.25
406,AR ,910131.0,28.25
407,OCQ,910102.0,9.0
408,MO ,901127.0,49.0
409,BRT,901226.0,2.5
410,W  ,901121.0,26.875
411,LOG,910114.0,19.0
412,SNT,910125.0,42.625
413,LUK,910124.0,21.5
414,ALL,901102.0,8.75
415,AL ,901130.0,17.25
416,ADU,910131.0,0.21875
417,IBM,910124.0,121.125
418,WHX,901211.0,4.875
419,POM,901101.0,19.75
420,CLF,901231.0,27.0
421,AC ,910131.0,16.875
422,ACN,901226.0,28.75
423,CU ,910123.0,22.75
424,KR ,910125.0,14.75
425,IBM,901226.0,113.625
426,COA,901217.0,inf
427,CP ,901102.0,15.75
428,BMC,910115.0,11.5
429,GE ,901231.0,57.5
430,CL ,910130.0,68.375
431,CU ,901221.0,22.25
432,MCN,901123.0,21.0
433,ARX,901217.0,1.75
434,ATE,910109.0,33.25
435,EMC,901220.0,7.75
436,DSI,910122.0,11.0
437,BZF,901218.0,7.25
438,AYD,910114.0,13.5
439,NSI,901119.0,inf
440,BG ,901214.0,24.0
441,RDA,901228.0,29.125
442,HAT,901126.0,inf
443,OCQ,901109.0,inf
444,IPT,901116.0,19.375
445,FNM,901120.0,31.875
446,BA ,910124.0,47.75
447,GPI,910131.0,inf
448,DBD,901217.0,36.375
449,VRC,901217.0,8.5
450,TEK,901112.0,16.125
451,GE ,910108.0,54.125
452,NT ,910121.0,inf
453,TEK,901214.0,20.0
454,MON,901120.0,1.375
455,FBO,910131.0,22.75
456,POM,901130.0,19.5
457,MO ,910131.0,55.625
458,HTR,901214.0,10.125
459,CLE,901224.0,9.75
460,TCI,901221.0,inf
461,AYD,901129.0,inf
462,HF ,901127.0,28.5
463,CAL,901130.0,3.25
464,Y  ,910103.0,87.0
465,AMO,910114.0,8.875
466,HFI,910123.0,9.125
467,HTR,910104.0,10.25
468,AL ,901119.0,17.5
469,ALL,901127.0,inf
470,PEO,901127.0,25.875
471,WBN,901221.0,10.75
472,UWR,901224.0,inf
473,XON,910122.0,51.0
474,EHP,901106.0,inf
475,CUC,901107.0,inf
476,MO ,901106.0,49.25
477,CPC,901205.0,81.5
478,AC ,901101.0,13.0
479,UWR,910107.0,11.25
480,PCO,910125.0,15.0
481,MON,910110.0,0.5625
482,AR ,910117.0,26.875
483,MX ,901211.0,inf
484,SWY,910108.0,12.0
485,OEH,910109.0,3.5
486,PIM,910128.0,6.875
487,CYR,901224.0,29.75
488,FLP,901224.0,1.25
489,XON,910121.0,51.125
490,PEO,901116.0,32.0
491,RPS,910131.0,5.375
492,ALL,901116.0,inf
493,CUE,901127.0,12.625
494,MCN,901127.0,21.25
495,AMD,901126.0,4.125
496,GE ,901128.0,53.375
497,VCC,901113.0,inf
498,SLB,901205.0,55.75
499,CAL,901113.0,3.75
500,HF ,901116.0,29.25
501,PIM,901109.0,6.625
502,AYD,901114.0,10.5
503,DLT,901227.0,15.875
504,WCS,910108.0,20.0
505,ADU,901108.0,inf
506,MON,901115.0,3.25
507,FDX,901219.0,33.25
